# Avida count data
# Thu Feb 26 18:32:17 2009
#  1: update
#  2: number of insts executed this update
#  3: number of organisms
#  4: number of different genotypes
#  5: number of different threshold genotypes
#  6: number of different species
#  7: number of different threshold species
#  8: number of different lineages
#  9: number of births in this update
# 10: number of deaths in this update
# 11: number of breed true
# 12: number of breed true organisms?
# 13: number of no-birth organisms
# 14: number of single-threaded organisms
# 15: number of multi-threaded organisms
# 16: number of modified organisms

18000 107760 3593 2793 3537 0 0 0 248 247 84 1416 2056 3593 0 0
18100 107640 3590 2752 3505 0 0 0 203 201 91 1462 2074 3590 0 0
18200 107850 3595 2746 3457 0 0 0 221 221 85 1473 2072 3595 0 0
18300 107670 3588 2757 3479 0 0 0 243 244 116 1457 2084 3588 0 0
18400 107610 3586 2782 3522 0 0 0 205 206 90 1401 2106 3586 0 0
18500 107820 3587 2780 3592 0 0 0 238 245 104 1427 2102 3587 0 0
18600 107610 3588 2731 3573 0 0 0 226 225 101 1467 2048 3588 0 0
18700 107670 3590 2714 3684 0 0 0 242 241 116 1501 2067 3590 0 0
18800 107700 3593 2750 3772 0 0 0 233 230 97 1468 2109 3593 0 0
18900 107700 3589 2716 3674 0 0 0 223 224 96 1492 2092 3589 0 0
19000 107550 3584 2755 3692 0 0 0 243 244 92 1455 2064 3584 0 0
19100 107880 3595 2751 3736 0 0 0 233 234 101 1465 2083 3595 0 0
19200 107610 3586 2735 3802 0 0 0 248 249 102 1475 2056 3586 0 0
19300 107610 3589 2759 3801 0 0 0 205 203 87 1414 2073 3589 0 0
19400 107520 3587 2755 3880 0 0 0 251 248 104 1422 2097 3587 0 0
19500 107640 3589 2777 3767 0 0 0 218 217 86 1420 2116 3589 0 0
19600 107550 3589 2726 3709 0 0 0 274 270 113 1479 2097 3589 0 0
19700 107610 3589 2771 3713 0 0 0 207 205 90 1396 2117 3589 0 0
19800 107610 3581 2748 3687 0 0 0 216 222 81 1432 2057 3581 0 0
19900 107460 3582 2732 3659 0 0 0 232 232 100 1426 2066 3582 0 0
20000 107610 3589 2783 3623 0 0 0 200 198 87 1396 2127 3589 0 0
20100 107490 3587 2715 3650 0 0 0 222 218 107 1468 2058 3587 0 0
20200 107640 3585 2785 3575 0 0 0 215 218 98 1428 2045 3585 0 0
20300 107460 3584 2760 3663 0 0 0 219 217 105 1477 2083 3584 0 0
20400 107520 3583 2746 3634 0 0 0 215 216 77 1410 2089 3583 0 0
