# Avida Dominant Data
# Thu Feb 26 18:32:17 2009
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

15600 1185.85 244.167 4.85659 0.00409568 102 102 91.6905 7 0 0 368 0 71.4382 1874577 102-acwvo
15700 1224.42 246.429 4.96746 0.00405825 102 102 94.4286 10 0 0 373 0 71.8977 1894270 102-acyey
15800 6458.65 261.486 21.4867 0.00386702 102 102 93.1 9 0 0 396 0 69.3115 1886502 102-acxoh
15900 5860.9 259.864 19.563 0.00388998 102 102 91.8182 11 2 1 402 0 71.2793 1921233 102-adahj
16000 1202.47 333.323 3.6069 0.00300014 102 102 95.25 11 2 2 372 0 70.6863 1907845 102-aczyb
16100 7742.09 269 24.9816 0.00377261 102 102 90.7222 8 0 0 384 0 71.2107 1949970 102-adcof
16200 1760.88 281.84 6.24166 0.00354815 104 104 96.68 8 0 0 391 0 68.4978 1960788 104-aaflk
16300 1188.1 244.82 4.85394 0.00408468 102 102 90.54 11 0 0 370 0 70.8396 1967229 102-adehp
16400 1163.61 246.489 4.72357 0.00405699 102 102 94.1 10 2 0 403 0 70.0779 1977424 102-adfan
16500 1287.47 247 5.21241 0.00404858 103 103 94.0571 9 4 3 370 0 68.8005 1999794 103-abbyk
16600 1301.19 247.788 5.25209 0.00403575 102 102 95.0192 6 0 0 411 0 68.4303 2012142 102-adhrq
16700 1188.84 246.057 4.83596 0.00406413 102 102 93.3714 8 3 1 404 0 67.4581 2028048 102-adjax
16800 1223.48 245.138 4.99082 0.00407945 102 102 92.1379 9 0 0 391 0 68.8005 2040794 102-adkaz
16900 1250.93 245.375 5.09728 0.0040756 102 102 94.1667 8 0 0 396 0 69.0995 2054717 102-adlgy
17000 1184.11 245.631 4.82258 0.00407119 103 103 92.2381 8 0 0 415 0 68.743 2057986 103-abcrf
17100 1165.35 244.655 4.7653 0.00408773 102 102 91.5345 11 1 1 390 0 70.5391 2072533 102-admtd
17200 7717.15 271.9 24.4015 0.00373677 102 102 95.2571 12 1 0 424 0 70.4658 2096379 102-adoky
17300 1241.53 246.677 5.03466 0.00405393 102 102 93.7846 10 2 0 430 0 69.8193 2099604 102-adorn
17400 1251.63 246.955 5.07224 0.00404936 102 102 94.8523 10 3 2 412 0 70.249 2105628 102-adpdk
17500 4466.76 255.3 14.9926 0.0039534 102 102 89.9333 9 1 0 444 0 70.1725 2136291 102-adroa
17600 1208.54 246.515 4.90482 0.00405667 102 102 91.6364 9 0 0 431 0 70.0152 2146574 102-adsmf
17700 1230.81 252.391 4.87901 0.00396212 102 102 92.913 10 0 0 411 0 70.0335 2148649 102-adtft
17800 1083.54 239.55 4.52567 0.00417451 102 102 87.5167 10 0 0 415 0 70.1103 2169581 102-adumy
